,attachmentKey,parentKey,parentTitle,linkTitle,url
243,I2W39UNL,9T68TY6G,"Hacker, Influencer, Faker, Spy: Intelligence Agencies in the Digital Age",Book review by Graham Alexander,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-2-extracts-june-2023/review-hacker-influence-faker-spy/
244,P9U6HPWV,PNNK4FZ4,Operation Rype: A WWII OSS Railway Sabotage Mission in Norway,Book review by J. R. Seeger,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-4-extracts-december-2023/review-operation-rype/
245,LZ7CNKBW,EYBVIE2G,"Covert Legions: U.S. Army Intelligence in Germany, 1944-1949",Book review by Scott A. Moseman,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-4-extracts-december-2023/review-covert-legions/
246,8ZRL7J8H,H392D2CI,The Black Cats of Osan: U-2 Spy Plane Escapades and Calamities in Korea,Book review by Kevin Ayers,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-4-extracts-december-2023/review-the-black-cats-of-osan/
247,26HFL9RW,GRZMNEPW,Trading Secrets: Spies and Intelligence in an Age of Terror,Book review by Michael S. Goodman,https://www.tandfonline.com/doi/full/10.1080/03071847.2013.826516
248,6LRJAIZL,CIWMC3SU,Crypto Wars: The Fight for Privacy in the Digital Age: A Political History of Digital Encryption,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2023.2227025
249,7JCHKRKH,CAF9QMBT,"Von einer Freundschaft, die es nicht gab: Das Ministerium für Staatssicherheit der DDR und das polnische Innenministerium 1974–1990 [Of a friendship that did not exist: The GDR Ministry of State Security and the Polish Ministry of the Interior 1974-1990]",Book review by Duncan Bare,https://www.tandfonline.com/doi/full/10.1080/16161262.2021.1909971
250,AKS7KTAY,TU8LP3X5,"Intelligence Agencies, Technology and Knowledge Production: Data Processing and Information Transfer in Secret Services during the Cold War",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2022.2132061
251,SNCDJ3EJ,3SNKN6RT,"Policing ‘Bengali Terrorism’ in India and the World: Imperial Intelligence and Revolutionary Nationalism, 1905-1939",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2021.1882121
252,5CLJINJP,M57WPTL8,The spy and the traitor: the greatest espionage story of the cold war,Book review by David A. Foy,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-63-no-1/the-spy-and-the-traitor-the-greatest-espionage-story-of-the-cold-war/
253,IP9PFRKQ,M57WPTL8,The spy and the traitor: the greatest espionage story of the cold war,Book review by Kiran H. Kaur,https://www.tandfonline.com/doi/full/10.1080/16161262.2020.1805954
254,UGSUGV8C,W2EIHX7J,Thatcher’s Spy: My Life as an MI5 Agent Inside Sinn Féin,Book review by Sebastian Rowe-Munday,https://www.tandfonline.com/doi/full/10.1080/16161262.2020.1826814
255,KMETE5H7,HRAS27S4,My Life as a Spy: Investigations in a Secret Police File,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2020.1774236
256,AH9FV6KY,2C8RY9G6,Alastair Denniston: Code-breaking From Room 40 to Berkeley Street and the Birth of GCHQ,Book review by Chris Christensen,https://doi.org/10.1080/01611194.2018.1503209
257,5F76HMQ4,2C8RY9G6,Alastair Denniston: Code-breaking From Room 40 to Berkeley Street and the Birth of GCHQ,Book review by Ralph Erskine,https://www.tandfonline.com/doi/full/10.1080/16161262.2018.1484028
259,MH7XIDX9,NDWBXBJH,"Paranoid visions: Spies, conspiracies and the secret state in British television drama",Book review by Julian Schmid,https://www.tandfonline.com/doi/full/10.1080/16161262.2019.1592971
260,ATE74PQZ,FUHPAM4Q,Undercover: The True Story of Britain’s Secret Police by Paul Lewis and Rob Evans,Book review by Natasha Smith and Emma A. Hall,https://www.tandfonline.com/doi/full/10.1080/16161262.2019.1592962
261,3BSB3NSM,7D89JVW8,Silver: The Spy Who Fooled the Nazis - The Most Remarkable Spy of The Second World War,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2017.1397399
262,AYJNHUPG,EEUU37R9,‘Keine Neue Gestapo’: Das Bundesamt für Verfassungsschutz und die NS-Vergangenheit [‘No New Gestapo’: the federal agency for the protection of the constitution and the NS-past],Book review by Thomas Boghardt,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1258251
263,THPKDWVK,WJ5SJDYS,"Company Confessions: Secrets, Memoirs, and the CIA",Book review by Mark Stout,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1258249
264,G6J7XQTX,WJ5SJDYS,"Company Confessions: Secrets, Memoirs, and the CIA",Book review by Pauline Blistene,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1607159
265,F6V5GTLA,ZV9NSUV6,"Faith, Unity, Discipline : The ISI of Pakistan",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2017.1286447
266,4FN65TLC,A5HNFIWW,Pakistan's Inter-Services Intelligence Directorate: Covert Action and Internal Operations,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1276342
267,6EW3N3JJ,6B6G7Z4C,The end of intelligence: espionage and state power in the information age,Book review by Clara McDonnell and Stuart Shevlin,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1276341
268,V8ZR6QYJ,X3NV53K4,"The Protest Years: The Official History of ASIO, 1963-1975",Book review by Justin T. McPhee,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1276121
269,XT76SZ6J,TFEYSDB9,Inside Canadian Intelligence: Exposing the New Realities of Espionage and International Terrorism,Book review by Clara McDonnell and Stuart Shevlin,https://www.tandfonline.com/doi/full/10.1080/16161262.2016.1187430
270,ZZ5B9HEE,2AP4JUED,Israel's Silent Defender: An Inside Look at Sixty Years of Israeli Intelligence,Book review by Amos Gilboa,https://www.tandfonline.com/doi/full/10.1080/16161262.2021.1926121
271,WEI4YWWT,2AP4JUED,Israel's Silent Defender: An Inside Look at Sixty Years of Israeli Intelligence,Book review by Eyal Pascovich,https://www.tandfonline.com/doi/full/10.1080/16161262.2015.1067501
272,5TJVATJN,69UYHE8D,"The CIA and the Soviet Bloc: Political Warfare, the Origins of the CIA and Countering Communism in Europe",Book review by Moritz Gruban and Mazimilian Woidich,https://www.tandfonline.com/doi/full/10.1080/16161262.2015.1052640
273,V44YEN3B,RJADZQH5,The CIA in Hollywood: How the Agency Shapes Film and Television,Book review by Adagbo Onoja,https://www.tandfonline.com/doi/full/10.1080/16161262.2014.941525
274,4FL9BAZF,6WTH4GFB,Open Source Intelligence in a Networked World,Book review by Daniel W. B. Lomas,https://www.tandfonline.com/doi/full/10.1080/16161262.2014.941524
275,Y9KS36CX,D9SM68J7,"From Northern Ireland to Afghanistan: British Military Intelligence Operations, Ethics and Human Rights",Book review by Samantha Newbery,https://www.tandfonline.com/doi/full/10.1080/16161262.2014.931655
276,TIB4EG73,QRDX35SN,Argo: How the CIA and Hollywood Pulled Off the Most Audacious Rescue in History,Book review by Stuart Shevlin,https://www.tandfonline.com/doi/full/10.1080/16161262.2013.877553
277,LBHEQRMV,9FMS7SFR,Schattenwelten: Österreichs Geheimdienstchef erzählt [Shadow worlds: Austria's secret service chief tells],Book review by Paul Schliefsteiner,https://www.tandfonline.com/doi/full/10.1080/02684527.2023.2262768
278,X5RIQ4MC,IG2UZPPX,"Programmed to Kill: Lee Harvey Oswald, the Soviet KGB, and the Kennedy Assassination",Book review by Ben de Jong,https://www.tandfonline.com/doi/full/10.1080/16161262.2013.849397
280,GXIXGQIU,PZSI78Y5,Understanding the Globalization of Intelligence,Book review by Robert Hanyok,https://www.tandfonline.com/doi/full/10.1080/16161262.2013.806725
281,39LX837Y,PKE8XZVV,Humanitarian Intelligence: A Practitioner's Guide to Crisis Analysis and Project Design,Book review by Henry Prunckun,https://view.salusjournal.com/index.php/salusjournal/article/view/78
282,NT9CHMRX,W9X9QCE7,Spies and Sparrows: ASIO and the Cold War,Book review by Samantha Jones,https://view.salusjournal.com/index.php/salusjournal/article/view/147
283,SAG6XGZP,M347CRB5,"The Conduct of Intelligence in Democracies: Processes, Practices, Cultures",Book review by Joel Wickwire,https://gsis.scholasticahq.com/article/27838-review-of-the-conduct-of-intelligence-in-democracies-processes-practices-and-cultural-by-florina-cristiana-matei-and-carolyn-halladay
284,9V28JAY5,DCVCKCDI,"Reasoning for Intelligence Analysts: A Multidimensional Approach of Traits, Techniques, and Targets",Book review by Margaret S. Marangione,https://gsis.scholasticahq.com/article/27818-review-of-reasoning-for-intelligence-analysts-by-noel-hendrickson
285,LKKGGMCR,Z3WDAN3L,The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,Book review by Robert Smith,https://gsis.scholasticahq.com/article/27782-review-of-the-billion-dollar-spy-a-true-story-of-cold-war-espionage-and-betrayal
286,72PKKJQ9,3VKZ37X8,On Intelligence: The History of Espionage and the Secret World,Book review by Adeyinka Makinde,https://gsis.scholasticahq.com/article/27779-review-of-on-intelligence-the-history-of-espionage-and-the-secret-world
287,57K5G8WB,KJQUTA29,Propaganda and Intelligence in the Cold War: The NATO information service,Book review by Stephen Coulthart,https://gsis.scholasticahq.com/article/27788-review-of-propaganda-and-intelligence-in-the-cold-war-the-nato-information-service
288,HPW7F2CJ,QHKYIEB9,Behind the Battle: Intelligence in the War with Germany 1939-1945,Book review by Brian Bond,https://journals.sagepub.com/doi/abs/10.1177/096834459500200313
289,LBET73H4,KUAQ2BGE,Secret Allies in the Pacific: Covert Intelligence and Code-Breaking prior to the Attack on Pearl Harbor,Book review by John W. M. Chapman,https://journals.sagepub.com/doi/abs/10.1177/096834450501200314
290,YZQFBRQI,5ZUMLCJD,A Century of Spies: Intelligence in the Twentieth Century,Book review by Michael Donovan,https://journals.sagepub.com/doi/abs/10.1177/096834459700400406
291,9ZD84JFR,FI27NRXM,Intelligence In War: Knowledge of the Enemy from Napoleon to Al-Qaeda,Book review Michael Warner,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-48-no-2/intelligence-in-war-knowledge-of-the-enemy-from-napoleon-to-al-qaeda/
292,R37RQLLK,FI27NRXM,Intelligence In War: Knowledge of the Enemy from Napoleon to Al-Qaeda,Book review by Michael Herman,https://journals.sagepub.com/doi/abs/10.1191/0968344505wh327xx
293,DW7AEKWI,FFYJYIA7,Most Secret and Confidential: Intelligence in the Age of Nelson,Book review by T. A. Brooks,https://www.cia.gov/static/13b847c371eba2271205c1716cffe6b5/secret-confidential-nelson.pdf
294,D9TR2AXF,FFYJYIA7,Most Secret and Confidential: Intelligence in the Age of Nelson,Book review by N. A.M. Rodger,https://journals.sagepub.com/doi/abs/10.1177/096834450100800311
295,J5J4IKAY,FFYJYIA7,Most Secret and Confidential: Intelligence in the Age of Nelson,Book review by Robert E. Johnson,https://www.tandfonline.com/doi/abs/10.1080/03612759.2000.10525668
296,H329NMNQ,LUHGRVPV,Nothing Is Beyond Our Reach: America's Techno-Spy Empire,Book review by James Witkoski,https://www.tandfonline.com/doi/full/10.1080/02684527.2023.2243164
297,YQZBE7LF,N72D2SEW,A Life in the Shadows: A Memoir [Memoir of an Indian spymaster],Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2023.2203070
299,A4ZZMJBP,7GQ6VTMV,Operation Payback: Soviet Disinformation and Alleged Nazi War Criminals in North America,Book review by John A. Gentry,https://www.tandfonline.com/doi/full/10.1080/02684527.2023.2174641
300,9GXSC2XR,EB59PQ6X,"Artificial intelligence and the future of warfare: The USA, China, and strategic stability",Book review by Mark Grzegorzewski,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2164601
301,WRYUUGMG,QTJL4RZU,"Internal Security Management in Nigeria: Perspectives, Challenges and Lessons",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2090506
302,ZPRME9C8,D866S3HA,"Spies, Lies, and Exile: The Extraordinary Story of Russian Double Agent George Blake",Book review by Kurt F. Jensen,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.2018110
303,FZX8I6LR,4ZULLN2G,"The Spymaster of Baghdad: A True Story of Bravery, Family, and Patriotism in the Battle against ISIS",Book review by Graham Alexander,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-65-no-2-june-2021/the-spymaster-of-baghdad-a-true-story-of-bravery-family-and-patriotism-in-the-battle-against-isis/
304,WF7IPRFD,4ZULLN2G,"The Spymaster of Baghdad: A True Story of Bravery, Family, and Patriotism in the Battle against ISIS",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1914892
305,UMNDMCV3,6XE62XRE,Big Data Surveillance and Security Intelligence: The Canadian Case,Book review by Kurt F. Jensen,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1911394
306,JTTFR7LB,3BXTQIEV,Diplomacy and Intelligence in the Nineteenth-Century Mediterranean World,Book review by T. G. Otte,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1876011
307,Q4F9JZKJ,XZQU5CZP,How Spies Think: Ten Lessons in Intelligence,Book review by Gill Bennett and John Scarlett,https://www.tandfonline.com/doi/full/10.1080/03071847.2021.1876973
308,TTYZRDGM,XZQU5CZP,How Spies Think: Ten Lessons in Intelligence,Book review by Kurt F. Jensen,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1874630
309,YG4H2EBV,HDUHMJV9,"Soviet Defectors: Revelations of Renegade Intelligence Officers, 1924-1954",Book review by Stephen Welch,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1871807
310,BENADT7D,BXU4L6CN,Head of the Mossad: In Pursuit of a Safe and Secure Israel,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1871706
313,VXY93PP5,8E5WDFRY,Secret History: Writing the Rise of Britain's Intelligence Services,Book review Charlotte Yelamos,https://www.tandfonline.com/doi/full/10.1080/16161262.2021.1882119
314,KFN7WFTM,8E5WDFRY,Secret History: Writing the Rise of Britain's Intelligence Services,Book review by Anthony Glees,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1804125
315,NBGS6PV4,IL25EPYP,Intelligence in the National Security Enterprise: An introduction,Book review by John A. Gentry,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1857497
316,DBRGKND7,JMPV3752,RAW: A History of India's Covert Operations,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1848299
318,PN9EIBBT,TL6K8UMD,"Anglo-European Intelligence Cooperation: Britain in Europe, Europe in Britain",Book review by Christian Kaunert,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1832392
319,7YZ9VPH2,TL6K8UMD,"Anglo-European Intelligence Cooperation: Britain in Europe, Europe in Britain",Book review by Damien Rogers,https://academic.oup.com/ia/article-abstract/96/5/1421/5901394?redirectedFrom=fulltext
320,EPHCP4IL,58JTMPWD,"The Targeter: My Life in the CIA, Hunting Terrorists and Challenging the White House",Book review by Philip Giurlando,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1825133
321,A4IZFTXZ,7M7UU4RS,"Law, Politics and Intelligence: A life of Robert Hope",Book review by John Blaxland,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1807676
322,W5GNMHXF,Z4QXCL45,Venice's Secret Service: Organizing Intelligence in the Renaissance,Book review by Joshua Rushton,https://www.tandfonline.com/doi/full/10.1080/16161262.2021.1882120
323,MR2TCRDD,Z4QXCL45,Venice's Secret Service: Organizing Intelligence in the Renaissance,Book review by Ian Oxnevad,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1806457
324,8G9JI5Q9,FMJ9XYRE,"The Rising Clamor: The American Press, the Central Intelligence Agency, and the Cold War",Book review by Colin McCullough,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1790132
325,VMSF875G,I8H9XP4S,Activists Under Surveillance: The FBI Files,Book review by Philip Giurlando,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1790131
327,NM4KJI93,2U2JX4I8,"No Shadows in the Desert: Murder, Vengeance, and Espionage in the War Against ISIS",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1772451
328,A9K9T7DF,QBIZWZ6Q,"Agents of Influence: A British Campaign, a Canadian Spy, and the Secret Plot to Bring America into World War II",Book review by Kurt F. Jensen,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1770934
329,GXZCSGQD,FUFK72QQ,"The Authorised History of British Defence Economic Intelligence: A Cold War in Whitehall, 1929-90",Book review by David Omand,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1756628
330,IUTBS3DG,NR2FWIXF,The Skripal Files: The Life and Near Death of a Russian Spy,Book review by Daniel Carthy,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1746127
332,L82789ET,UJDZM8AP,The Spy in Moscow Station: A Counterspy’s Hunt for a Deadly Cold War Threat,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/16161262.2020.1826810
333,AHV29JPW,UJDZM8AP,The Spy in Moscow Station: A Counterspy’s Hunt for a Deadly Cold War Threat,Book review by Berenice Burnett,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1746126
334,AGNRGWX3,ZDLKS6MN,To Catch a Spy: The Art of Counterintelligence,Book review by Mark Soares,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1746125
335,DUDBLFDJ,XSAD99K7,R.N. Kao: Gentleman Spymaster,Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1719461
336,VNGTSV3Y,9NX5KICS,Spies: The U.S. and Russian Espionage Game from the Cold War to the 21st Century,Book review by Kevin Riehle,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1711559
337,FA2TBNXN,IJZZBAKD,"Beyond Snowden: Privacy, Mass Surveillance, and the Struggle to Reform the NSA",Book review by Emma Harries,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1711558
338,2JRCYX9R,UKRBEM2F,"Chile, the CIA and the Cold War: A Transatlantic Perspective",Book review by Ryan Shaffer,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1686680
